City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Kapaa,US,2020-02-23 08:29:57,22.08,-159.32,73.4,83,75,10.29
71,Srednekolymsk,RU,2020-02-23 08:30:42,67.45,153.68,-27.74,100,54,1.3
72,Ajdabiya,LY,2020-02-23 08:29:33,30.76,20.23,57.27,61,0,23.2
73,Makubetsu,JP,2020-02-23 08:30:42,45.37,141.82,30.2,80,75,27.51
74,Terrace,CA,2020-02-23 08:30:43,54.52,-128.6,33.8,80,90,13.87
75,Esperantinopolis,BR,2020-02-23 08:30:43,-4.87,-44.71,70.83,99,100,3.4
76,Codrington,AU,2020-02-23 08:30:43,-38.27,141.97,63.19,85,22,12.59
77,Bluff,NZ,2020-02-23 08:30:43,-46.6,168.33,55.99,86,37,5.01
78,Samana,DO,2020-02-23 08:30:43,19.21,-69.34,67.33,97,32,1.16
79,Arlit,NE,2020-02-23 08:30:44,18.74,7.39,79.86,12,79,17.16
80,Oksfjord,NO,2020-02-23 08:30:44,70.24,22.35,30.2,73,31,8.05
81,Merrill,US,2020-02-23 08:30:44,45.18,-89.68,30.2,80,1,4.7
82,San Fernando,PH,2020-02-23 08:30:44,15.03,120.69,87.8,51,75,16.11
83,Torbay,CA,2020-02-23 08:30:44,47.67,-52.73,30.0,86,90,13.87
84,Nicoya,CR,2020-02-23 08:30:45,10.15,-85.45,68.0,88,92,31.0
85,Thayetmyo,MM,2020-02-23 08:30:45,19.32,95.18,93.69,20,68,6.29
86,Zwedru,LR,2020-02-23 08:30:45,6.07,-8.13,82.6,73,52,3.87
87,Shingu,JP,2020-02-23 08:30:45,33.73,135.98,50.0,43,20,16.11
88,Provideniya,RU,2020-02-23 08:30:45,64.38,-173.3,-9.81,100,53,2.95
89,Broome,US,2020-02-23 08:30:46,42.25,-75.83,28.4,50,1,6.93
90,Mareeba,AU,2020-02-23 08:30:46,-17.0,145.43,82.0,88,90,9.17
91,Anshun,CN,2020-02-23 08:30:46,26.25,105.93,57.7,78,96,16.24
92,Pedasi,PA,2020-02-23 08:30:46,7.53,-80.03,77.74,77,92,25.01
93,San Andres,CO,2020-02-23 08:26:32,12.58,-81.7,78.8,78,20,5.82
94,Ambon,ID,2020-02-23 08:30:47,-3.7,128.18,89.6,62,40,9.17
95,Bethel,US,2020-02-23 08:30:21,41.37,-73.41,33.01,58,1,4.12
96,Ribeira Grande,PT,2020-02-23 08:30:47,38.52,-28.7,59.0,67,75,6.93
97,Tomatlan,MX,2020-02-23 08:30:48,19.93,-105.25,66.81,76,0,2.48
98,Caravelas,BR,2020-02-23 08:30:48,-17.71,-39.25,80.76,84,90,12.82
99,Galt,US,2020-02-23 08:30:48,38.25,-121.3,53.01,93,1,9.17
100,Cape Town,ZA,2020-02-23 08:28:40,-33.93,18.42,79.0,36,0,8.05
101,Sembe,CG,2020-02-23 08:30:48,1.65,14.58,84.74,57,22,6.6
102,Alofi,NU,2020-02-23 08:30:49,-19.06,-169.92,80.17,87,100,12.84
103,Pecos,US,2020-02-23 08:30:49,31.42,-103.49,48.2,75,1,5.82
104,Rio Arriba,HN,2020-02-23 08:30:49,15.73,-86.11,64.11,99,100,3.31
105,Tasiilaq,GL,2020-02-23 08:30:49,65.61,-37.64,10.4,78,0,8.63
106,Saint-Philippe,RE,2020-02-23 08:30:50,-21.36,55.77,86.0,66,45,6.93
107,Hofn,IS,2020-02-23 08:30:50,64.25,-15.21,33.66,82,91,8.5
108,Pitkyaranta,RU,2020-02-23 08:30:50,61.57,31.48,35.37,76,97,23.51
109,Gizo,SB,2020-02-23 08:30:50,-8.1,156.84,78.3,90,9,6.96
110,Anadyr,RU,2020-02-23 08:30:51,64.75,177.48,-22.0,74,0,2.24
111,Kamenka,RU,2020-02-23 08:30:51,51.32,42.77,32.0,96,88,11.01
112,Charleston,US,2020-02-23 08:27:58,32.78,-79.93,34.0,100,1,2.44
113,Lorengau,PG,2020-02-23 08:30:51,-2.02,147.27,84.18,68,41,7.47
114,Port Elizabeth,ZA,2020-02-23 08:29:59,-33.92,25.57,68.0,56,40,6.93
115,East London,ZA,2020-02-23 08:30:52,-33.02,27.91,69.8,60,20,14.99
116,Vestmannaeyjar,IS,2020-02-23 08:26:49,63.44,-20.27,36.88,58,89,32.41
117,Maceio,BR,2020-02-23 08:28:26,-9.67,-35.74,75.2,100,20,3.36
118,Iqaluit,CA,2020-02-23 08:30:52,63.75,-68.51,-31.0,59,40,23.04
119,Vila Franca Do Campo,PT,2020-02-23 08:30:53,37.72,-25.43,55.4,87,75,4.7
120,Saldanha,ZA,2020-02-23 08:26:38,-33.01,17.94,78.8,29,0,13.87
121,Panaba,MX,2020-02-23 08:30:53,21.28,-88.27,64.42,77,0,5.23
122,Cherskiy,RU,2020-02-23 08:29:47,68.75,161.3,-24.29,95,93,6.87
123,Sorland,NO,2020-02-23 08:30:53,67.67,12.69,36.81,76,100,36.75
124,Ambilobe,MG,2020-02-23 08:30:54,-13.2,49.05,89.28,63,54,4.03
125,Pangnirtung,CA,2020-02-23 08:30:54,66.15,-65.71,-35.39,96,29,2.3
126,Khatanga,RU,2020-02-23 08:30:54,71.97,102.5,15.3,85,100,13.31
127,Hilo,US,2020-02-23 08:30:54,19.73,-155.09,69.8,73,75,4.7
128,Lima,PE,2020-02-23 08:30:55,-12.04,-77.03,75.2,83,75,5.82
129,Castro,BR,2020-02-23 08:30:55,-24.79,-50.01,52.74,96,100,5.88
130,Jishou,CN,2020-02-23 08:30:55,28.32,109.72,60.46,74,100,1.16
131,Vardo,NO,2020-02-23 08:30:55,70.37,31.11,30.76,80,100,10.47
132,Salalah,OM,2020-02-23 08:30:55,17.02,54.09,78.8,65,0,8.05
133,Amapa,BR,2020-02-23 08:30:56,1.0,-52.0,71.89,99,100,1.1
134,Kuching,MY,2020-02-23 08:30:56,1.55,110.33,80.6,94,40,5.82
135,Beaverlodge,CA,2020-02-23 08:30:56,55.22,-119.44,23.0,62,5,8.05
136,Presidencia Roque Saenz Pena,AR,2020-02-23 08:30:56,-26.79,-60.44,54.82,68,12,4.07
137,Mildura,AU,2020-02-23 08:27:03,-34.2,142.15,91.0,35,59,4.7
138,Thompson,CA,2020-02-23 08:27:24,55.74,-97.86,12.2,72,90,4.7
139,Nome,US,2020-02-23 08:30:57,64.5,-165.41,-4.0,83,90,10.29
