City_ID,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain inches last 3 hours,Snow inches last 3 hours
273,273,Victoria,22.29,114.16,69.01,63,20,25.28,HK,2020-02-23 21:43:57,few clouds,0.0,0.0
274,274,Bourg-En-Bresse,46.17,5.17,54.0,53,96,1.12,FR,2020-02-23 21:47:27,overcast clouds,0.0,0.0
275,275,Beloha,-25.17,45.05,76.28,89,100,3.83,MG,2020-02-23 21:47:28,light rain,0.5,0.0
276,276,Cuamba,-14.8,36.54,71.46,97,98,2.3,MZ,2020-02-23 21:47:28,moderate rain,3.56,0.0
277,277,Kurumkan,54.3,110.3,-1.98,76,0,2.66,RU,2020-02-23 21:47:28,clear sky,0.0,0.0
278,278,Mandalgovi,45.76,106.27,19.58,62,99,10.78,MN,2020-02-23 21:46:06,overcast clouds,0.0,0.0
279,279,Santiago,-33.46,-70.65,82.0,28,0,6.93,CL,2020-02-23 21:44:08,clear sky,0.0,0.0
280,280,Caucaia,-3.74,-38.65,82.4,78,100,6.93,BR,2020-02-23 21:47:29,overcast clouds,0.0,0.0
281,281,Undory,54.61,48.39,32.0,84,90,20.13,RU,2020-02-23 21:47:29,overcast clouds,0.0,0.0
282,282,Yaguajay,22.33,-79.24,73.81,74,16,23.44,CU,2020-02-23 21:47:29,light rain,0.19,0.0
283,283,Maragogi,-9.01,-35.22,82.38,77,3,14.03,BR,2020-02-23 21:47:30,clear sky,0.0,0.0
284,284,Longyearbyen,78.22,15.64,-4.0,76,20,9.17,SJ,2020-02-23 21:47:30,few clouds,0.0,0.0
285,285,Altay,47.87,88.12,7.88,78,50,4.32,CN,2020-02-23 21:47:30,scattered clouds,0.0,0.0
286,286,San Cristobal,7.77,-72.22,84.2,54,40,4.7,VE,2020-02-23 21:47:00,scattered clouds,0.0,0.0
287,287,Cidreira,-30.18,-50.21,71.91,73,1,17.29,BR,2020-02-23 21:44:04,clear sky,0.0,0.0
288,288,Rio Gallegos,-51.62,-69.22,66.2,29,40,20.8,AR,2020-02-23 21:47:31,scattered clouds,0.0,0.0
289,289,Padang,-0.95,100.35,69.89,84,0,6.46,ID,2020-02-23 21:43:59,clear sky,0.0,0.0
290,290,Klaksvik,62.23,-6.59,37.4,55,25,23.04,FO,2020-02-23 21:44:05,scattered clouds,0.0,0.0
291,291,Meulaboh,4.14,96.13,81.03,81,5,7.7,ID,2020-02-23 21:47:31,clear sky,0.0,0.0
292,292,Banda Aceh,5.56,95.32,74.55,82,0,6.78,ID,2020-02-23 21:44:12,clear sky,0.0,0.0
293,293,Khomutovka,51.92,34.56,31.41,87,0,9.6,RU,2020-02-23 21:47:32,clear sky,0.0,0.0
294,294,Porto Novo,6.5,2.6,86.0,84,20,11.41,BJ,2020-02-23 21:47:32,few clouds,0.0,0.0
295,295,Sitka,57.05,-135.33,33.8,93,90,5.82,US,2020-02-23 21:47:32,light rain,0.0,0.0
296,296,Gayny,60.31,54.32,26.33,91,100,14.67,RU,2020-02-23 21:47:32,light snow,0.0,0.38
297,297,Mazagao,-0.12,-51.29,84.2,94,75,4.7,BR,2020-02-23 21:47:33,broken clouds,0.0,0.0
298,298,Hasaki,35.73,140.83,34.0,33,20,1.12,JP,2020-02-23 21:45:25,few clouds,0.0,0.0
299,299,Marawi,8.0,124.29,73.0,87,42,5.99,PH,2020-02-23 21:47:33,scattered clouds,0.0,0.0
300,300,Huicungo,-7.28,-76.8,71.58,92,64,2.24,PE,2020-02-23 21:47:33,light rain,1.75,0.0
301,301,Moerai,-22.43,-151.33,81.25,67,11,6.91,PF,2020-02-23 21:47:33,few clouds,0.0,0.0
302,302,Krasnoarmeysk,51.02,45.7,32.0,98,100,8.01,RU,2020-02-23 21:47:34,light snow,0.0,0.75
303,303,Oktyabrskiy,54.48,53.47,23.36,90,100,17.27,RU,2020-02-23 21:47:34,light snow,0.0,0.25
304,304,Norman Wells,65.28,-126.83,5.0,71,75,10.29,CA,2020-02-23 21:43:49,broken clouds,0.0,0.0
305,305,Teya,60.38,92.63,1.76,93,3,3.27,RU,2020-02-23 21:47:34,clear sky,0.0,0.0
306,306,Leopold,-38.18,144.47,68.0,100,90,1.68,AU,2020-02-23 21:47:35,overcast clouds,0.0,0.0
307,307,Tezu,27.92,96.17,60.64,47,0,2.8,IN,2020-02-23 21:47:35,clear sky,0.0,0.0
308,308,Estelle,29.85,-90.11,70.0,55,1,6.93,US,2020-02-23 21:43:22,clear sky,0.0,0.0
309,309,Kaeo,-35.1,173.78,77.0,74,0,3.0,NZ,2020-02-23 21:43:46,clear sky,0.0,0.0
310,310,Kasongo,-4.45,26.67,73.69,96,100,1.86,CD,2020-02-23 21:47:36,light rain,2.31,0.0
311,311,Mahebourg,-20.41,57.7,77.0,88,40,4.7,MU,2020-02-23 21:47:36,scattered clouds,0.0,0.0
312,312,Ucluelet,48.93,-125.55,46.99,93,90,28.86,CA,2020-02-23 21:44:05,light intensity shower rain,0.0,0.0
313,313,Koundara,12.48,-13.3,88.9,18,98,2.48,GN,2020-02-23 21:47:36,overcast clouds,0.0,0.0
314,314,Muzhi,65.37,64.67,26.91,81,27,22.53,RU,2020-02-23 21:47:36,scattered clouds,0.0,0.0
315,315,Coihaique,-45.58,-72.07,62.6,45,40,11.41,CL,2020-02-23 21:43:45,scattered clouds,0.0,0.0
316,316,Elliot Lake,46.38,-82.63,37.4,74,1,14.99,CA,2020-02-23 21:47:37,clear sky,0.0,0.0
317,317,Kalevala,65.2,31.17,26.47,89,100,10.76,RU,2020-02-23 21:47:37,overcast clouds,0.0,0.0
318,318,Kawalu,-7.38,108.21,70.41,88,4,3.71,ID,2020-02-23 21:47:37,clear sky,0.0,0.0
319,319,Manoel Urbano,-8.84,-69.26,84.78,58,66,1.5,BR,2020-02-23 21:47:38,broken clouds,0.0,0.0
320,320,Bandarbeyla,9.49,50.81,78.08,75,100,16.04,SO,2020-02-23 21:47:38,overcast clouds,0.0,0.0
321,321,Muisne,0.6,-80.03,80.6,100,75,16.11,EC,2020-02-23 21:47:38,broken clouds,0.0,0.0
322,322,Wanning,18.8,110.4,69.31,90,84,5.95,CN,2020-02-23 21:47:38,light rain,1.19,0.0
323,323,Carballo,43.21,-8.69,55.0,100,0,4.7,ES,2020-02-23 21:47:39,fog,0.0,0.0
324,324,Alugan,12.22,125.48,78.6,86,6,15.23,PH,2020-02-23 21:47:39,light rain,0.69,0.0
325,325,La Primavera,5.49,-70.41,96.85,32,71,8.7,CO,2020-02-23 21:47:39,broken clouds,0.0,0.0
326,326,Ozernovskiy,51.5,156.52,26.65,85,100,23.51,RU,2020-02-23 21:47:39,light snow,0.0,1.38
327,327,Mwene-Ditu,-7.0,23.45,67.91,97,100,5.03,CD,2020-02-23 21:47:40,light rain,0.25,0.0
328,328,Malanje,-9.54,16.34,64.87,96,99,4.09,AO,2020-02-23 21:47:40,overcast clouds,0.0,0.0
329,329,Adrar,20.5,-10.07,85.57,9,100,9.98,MR,2020-02-23 21:47:40,overcast clouds,0.0,0.0
330,330,Clarence Town,-32.58,151.78,70.0,83,75,4.7,AU,2020-02-23 21:47:40,light rain,0.0,0.0
331,331,Panjab,34.39,67.02,17.58,95,94,2.17,AF,2020-02-23 21:47:40,overcast clouds,0.0,0.0
332,332,Mersing,2.43,103.84,78.8,100,45,12.75,MY,2020-02-23 21:47:41,light rain,0.31,0.0
333,333,Yomou,7.56,-9.27,80.87,64,60,4.32,GN,2020-02-23 21:47:41,broken clouds,0.0,0.0
334,334,Fonte Boa,-2.5,-66.27,81.5,80,36,3.56,BR,2020-02-23 21:47:41,light rain,2.38,0.0
335,335,Pampierstad,-27.78,24.69,70.29,35,1,4.34,ZA,2020-02-23 21:47:41,clear sky,0.0,0.0
336,336,Mareeba,-17.0,145.43,79.0,100,90,2.24,AU,2020-02-23 21:47:42,light rain,0.0,0.0
337,337,Tabuk,17.42,121.44,67.71,95,100,3.69,PH,2020-02-23 21:47:42,light rain,0.13,0.0
338,338,Banikoara,11.3,2.44,83.23,12,0,7.18,BJ,2020-02-23 21:47:42,clear sky,0.0,0.0
339,339,Ingham,42.6,-84.38,52.0,46,1,8.05,US,2020-02-23 21:47:42,clear sky,0.0,0.0
340,340,Sobolevo,54.43,31.9,32.52,80,100,11.95,RU,2020-02-23 21:47:42,overcast clouds,0.0,0.0
341,341,Baherden,38.44,57.43,53.85,62,0,8.16,TM,2020-02-23 21:47:43,clear sky,0.0,0.0
342,342,Synya,65.37,58.04,28.65,88,100,18.01,RU,2020-02-23 21:47:43,light snow,0.0,0.25
343,343,Redland,39.15,-77.14,59.0,20,1,8.05,US,2020-02-23 21:47:43,clear sky,0.0,0.0
344,344,Torbay,47.67,-52.73,33.01,81,20,13.87,CA,2020-02-23 21:43:48,few clouds,0.0,0.0
345,345,Phalaborwa,-23.94,31.14,66.56,71,74,17.85,ZA,2020-02-23 21:47:44,broken clouds,0.0,0.0
346,346,Alofi,-19.06,-169.92,82.4,88,100,9.17,NU,2020-02-23 21:47:44,light rain,2.75,0.0
347,347,Correntina,-13.34,-44.64,78.08,79,26,2.64,BR,2020-02-23 21:47:44,scattered clouds,0.0,0.0
348,348,Alice Springs,-23.7,133.88,66.2,39,99,2.24,AU,2020-02-23 21:47:44,overcast clouds,0.0,0.0
349,349,Ancud,-41.87,-73.82,59.0,58,69,14.99,CL,2020-02-23 21:46:10,light rain,0.38,0.0
350,350,Kamenka,51.32,42.77,33.01,97,100,4.0,RU,2020-02-23 21:47:45,snow,0.0,1.75
351,351,Zemio,5.03,25.14,78.08,24,31,6.46,CF,2020-02-23 21:47:45,scattered clouds,0.0,0.0
352,352,Talakan,50.32,130.37,7.05,91,100,0.98,RU,2020-02-23 21:44:37,overcast clouds,0.0,0.0
353,353,North Bend,43.41,-124.22,51.01,81,75,14.99,US,2020-02-23 21:47:45,broken clouds,0.0,0.0
354,354,Troitskoye,52.98,84.68,16.48,95,82,2.04,RU,2020-02-23 21:47:46,broken clouds,0.0,0.0
