City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain inches last 3 hours,Snow inches last 3 hours
453,Sena Madureira,-9.07,-68.66,72.86,91,85,1.19,BR,2020-02-24 01:00:21,overcast clouds,0,0
454,Kologriv,58.83,44.32,31.32,94,100,9.53,RU,2020-02-24 01:00:21,light snow,0,0.19
455,Urengoy,65.97,78.37,23.7,89,100,19.64,RU,2020-02-24 01:00:21,light snow,0,0.13
456,Shumyachi,53.86,32.42,31.1,87,29,8.25,RU,2020-02-24 01:00:22,scattered clouds,0,0
457,Visavadar,21.38,70.68,65.8,44,22,5.5,IN,2020-02-24 01:00:22,few clouds,0,0
458,Adeje,28.12,-16.73,73.0,49,99,2.24,ES,2020-02-24 01:00:22,haze,0,0
459,Sharjah,25.36,55.4,73.4,93,41,2.24,AE,2020-02-24 01:00:23,mist,0,0
460,Marsa Matruh,31.35,27.25,51.8,81,40,6.93,EG,2020-02-24 01:00:23,scattered clouds,0,0
461,Yumen,40.28,97.2,25.56,53,0,8.37,CN,2020-02-24 01:00:23,clear sky,0,0
462,Bijie,27.31,105.29,45.72,95,94,3.04,CN,2020-02-24 01:00:23,overcast clouds,0,0
463,Doha,25.29,51.53,70.0,88,80,5.82,QA,2020-02-24 00:57:11,broken clouds,0,0
464,San Pedro,14.35,121.02,84.99,69,20,2.24,PH,2020-02-24 01:00:24,few clouds,0,0
465,Manyana,-23.4,21.72,69.28,82,98,6.78,BW,2020-02-24 01:00:24,light rain,0.19,0
466,Vila Franca Do Campo,37.72,-25.43,57.2,87,20,4.7,PT,2020-02-24 00:56:54,few clouds,0,0
467,Caravelas,-17.71,-39.25,79.86,84,100,13.29,BR,2020-02-24 01:00:21,light rain,0.31,0
468,Sokoni,-6.43,39.55,83.86,80,97,13.49,TZ,2020-02-24 01:00:25,overcast clouds,0,0
469,Cap-Aux-Meules,47.38,-61.86,30.2,74,20,10.29,CA,2020-02-24 01:00:25,few clouds,0,0
470,Kamenka,51.32,42.77,34.0,97,100,3.0,RU,2020-02-24 01:00:25,light snow,0,0.88
471,Kenai,60.55,-151.26,23.0,53,1,5.82,US,2020-02-24 01:00:25,clear sky,0,0
